model,semantic_category,discourse_relation,metric,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero,base_support_per_run,ft_support_per_run,low_support_diagnostic,n_valid_replicates,n_replicates,seed
Gemma 4 31B,ClaimComparison,Temporal,baseline_density,188,0.7600021109868301,0.775621440909827,0.01561932992299686,-0.10199657554628411,0.13703656310621404,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal,localization,188,82.25799541589016,84.19536787461317,1.9373724587230043,-5.288826423972336,9.373333322200667,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 31B,ClaimComparison,Temporal,lift,188,1.3015501276697197,1.2854102902980424,-0.016139837371677235,-0.14882374202366544,0.11435203988722197,False,106.66666666666667,112.33333333333333,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,category_prevalence,191,18.32460732984293,16.404886561954626,-1.919720767888304,-5.584642233856895,1.7452006980802786,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,conditional_prevalence,191,59.9493806200088,52.315208619599126,-7.634172000409677,-20.50649100128268,5.171844440400648,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,conditional_density,191,1.0215592233696593,0.9729574020463642,-0.04860182132329516,-0.35346717366010816,0.24786678551630023,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,baseline_density,191,0.43888623181657355,0.32225113995102755,-0.11663509186554599,-0.1999603991887999,-0.0350980925204466,True,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,localization,191,93.26599326599326,97.43589743589745,4.169904169904186,-3.9772727272727337,12.317261904761892,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 4B,ClaimComparison,Temporal,lift,191,2.2380598857103133,2.6484529259792065,0.4103930402688931,-0.18334030946581226,1.0512929381916554,False,35.0,31.333333333333332,False,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,category_prevalence,190,7.894736842105264,7.368421052631579,-0.526315789473685,-3.333333333333334,2.105263157894737,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,conditional_prevalence,190,38.340874811463046,45.43650793650793,7.095633125044884,-12.90250299746867,26.673597801693763,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,conditional_density,190,0.6447096234677934,0.7690301175023433,0.12432049403454992,-0.2504993400423216,0.46091466488779975,False,15.0,14.0,True,10000,10000,20260826
Gemma 4 2B,ClaimComparison,Temporal.Asynchronous,baseline_density,190,0.18607538325232387,0.28919917190973893,0.10312378865741506,0.03498775722067767,0.17102491094154473,True,15.0,14.0,True,10000,10000,20260826
