model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Payoff,False,191,31,0.16230366492146597,0.17801047120418848,0.900523560209424,1.012482900136799
Gemma 4 2B,Greedy,greedy_t0,Behavioral,Uncertainty,False,191,21,0.1099476439790576,0.17801047120418848,0.6387434554973822,0.9669720347155256
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Mechanical,False,191,0,0.0,0.07853403141361257,0.02617801047120419,0.0
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Testimony,False,191,15,0.07853403141361257,0.07853403141361257,0.5445026178010471,1.8365384615384615
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,SocialJudgment,False,191,7,0.03664921465968586,0.07853403141361257,0.5078534031413613,0.9189003436426115
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Behavioral,False,191,2,0.010471204188481676,0.07853403141361257,0.17801047120418848,0.7490196078431374
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,ClaimComparison,True,191,15,0.07853403141361257,0.07853403141361257,0.07853403141361257,
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Payoff,False,191,15,0.07853403141361257,0.07853403141361257,0.900523560209424,1.11046511627907
Gemma 4 2B,Greedy,greedy_t0,ClaimComparison,Uncertainty,False,191,7,0.03664921465968586,0.07853403141361257,0.6387434554973822,0.7306010928961748
Gemma 4 2B,Greedy,greedy_t0,Payoff,Mechanical,False,191,5,0.02617801047120419,0.900523560209424,0.02617801047120419,1.1104651162790697
Gemma 4 2B,Greedy,greedy_t0,Payoff,Testimony,False,191,101,0.5287958115183246,0.900523560209424,0.5445026178010471,1.0784324686940965
Gemma 4 2B,Greedy,greedy_t0,Payoff,SocialJudgment,False,191,88,0.4607329842931937,0.900523560209424,0.5078534031413613,1.0074322704387435
Gemma 4 2B,Greedy,greedy_t0,Payoff,Behavioral,False,191,31,0.16230366492146597,0.900523560209424,0.17801047120418848,1.012482900136799
