model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 2B,Greedy,Uncertainty,Behavioral,False,1,21.0,21,0.1099476439790576,0.9669720347155256,
Gemma 4 2B,Greedy,Uncertainty,ClaimComparison,False,1,7.0,7,0.03664921465968586,0.7306010928961748,
Gemma 4 2B,Greedy,Uncertainty,Mechanical,False,1,1.0,1,0.005235602094240838,0.3131147540983607,
Gemma 4 2B,Greedy,Uncertainty,Payoff,False,1,104.0,104,0.5445026178010471,0.9466260007624858,
Gemma 4 2B,Greedy,Uncertainty,SocialJudgment,False,1,50.0,50,0.2617801047120419,0.8069967889133005,
Gemma 4 2B,Greedy,Uncertainty,Testimony,False,1,56.0,56,0.2931937172774869,0.8430012610340478,
Gemma 4 2B,Greedy,Uncertainty,Uncertainty,True,1,122.0,122,0.6387434554973822,,
Gemma 4 4B,Stochastic,Behavioral,Behavioral,True,3,111.0,333,0.581151832460733,,
Gemma 4 4B,Stochastic,Behavioral,ClaimComparison,False,3,23.666666666666668,71,0.12390924956369982,1.1492936552420037,0.1495805068186994
Gemma 4 4B,Stochastic,Behavioral,Mechanical,False,3,5.333333333333333,16,0.027923211169284468,0.6673427187912289,0.17087384616763823
Gemma 4 4B,Stochastic,Behavioral,Payoff,False,3,75.66666666666667,227,0.3961605584642234,0.9490189386882291,0.03551223330713211
Gemma 4 4B,Stochastic,Behavioral,SocialJudgment,False,3,60.333333333333336,181,0.3158813263525306,0.9672265201919618,0.023332745152789564
Gemma 4 4B,Stochastic,Behavioral,Testimony,False,3,85.0,255,0.4450261780104712,1.014649801721556,0.047675582501053373
Gemma 4 4B,Stochastic,Behavioral,Uncertainty,False,3,40.333333333333336,121,0.21116928446771377,0.855341609614252,0.0058986724139414295
Gemma 4 4B,Stochastic,ClaimComparison,Behavioral,False,3,23.666666666666668,71,0.12390924956369982,1.1492936552420037,0.1495805068186994
Gemma 4 4B,Stochastic,ClaimComparison,ClaimComparison,True,3,35.0,105,0.18324607329842932,,
Gemma 4 4B,Stochastic,ClaimComparison,Mechanical,False,3,1.6666666666666667,5,0.008726003490401396,0.6513053898877329,0.35596932045851293
Gemma 4 4B,Stochastic,ClaimComparison,Payoff,False,3,24.666666666666668,74,0.12914485165794065,0.9775624822651189,0.08424203860732651
Gemma 4 4B,Stochastic,ClaimComparison,SocialJudgment,False,3,17.333333333333332,52,0.09075043630017453,0.8931740622616559,0.19674316590942192
Gemma 4 4B,Stochastic,ClaimComparison,Testimony,False,3,33.333333333333336,100,0.17452006980802792,1.267391739816152,0.060856837464581134
Gemma 4 4B,Stochastic,ClaimComparison,Uncertainty,False,3,10.666666666666666,32,0.05584642233856893,0.7125390863930762,0.20056787785254526
Gemma 4 4B,Stochastic,Mechanical,Behavioral,False,3,5.333333333333333,16,0.027923211169284468,0.6673427187912289,0.17087384616763823
Gemma 4 4B,Stochastic,Mechanical,ClaimComparison,False,3,1.6666666666666667,5,0.008726003490401396,0.6513053898877329,0.35596932045851293
Gemma 4 4B,Stochastic,Mechanical,Mechanical,True,3,13.333333333333334,40,0.06980802792321117,,
