model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,joint_prevalence_sd,prevalence_a_mean,prevalence_b_mean
Gemma 4 4B,Stochastic,Uncertainty,SocialJudgment,False,3,41.333333333333336,124,0.21640488656195464,0.03929609162023631,0.4258289703315881,0.56195462478185
Gemma 4 4B,Stochastic,Uncertainty,Testimony,False,3,56.0,168,0.29319371727748694,0.018877231808711974,0.4258289703315881,0.7539267015706805
Gemma 4 4B,Stochastic,Uncertainty,Uncertainty,True,3,81.33333333333333,244,0.4258289703315881,0.031990057207370616,0.4258289703315881,0.4258289703315881
Gemma 4 4B,Greedy,Behavioral,Behavioral,True,1,96.0,96,0.5026178010471204,,0.5026178010471204,0.5026178010471204
Gemma 4 4B,Greedy,Behavioral,ClaimComparison,False,1,27.0,27,0.14136125654450263,,0.5026178010471204,0.19895287958115182
Gemma 4 4B,Greedy,Behavioral,Mechanical,False,1,7.0,7,0.03664921465968586,,0.5026178010471204,0.07329842931937172
Gemma 4 4B,Greedy,Behavioral,Payoff,False,1,58.0,58,0.3036649214659686,,0.5026178010471204,0.7172774869109948
Gemma 4 4B,Greedy,Behavioral,SocialJudgment,False,1,49.0,49,0.25654450261780104,,0.5026178010471204,0.5392670157068062
Gemma 4 4B,Greedy,Behavioral,Testimony,False,1,70.0,70,0.36649214659685864,,0.5026178010471204,0.7172774869109948
Gemma 4 4B,Greedy,Behavioral,Uncertainty,False,1,35.0,35,0.18324607329842932,,0.5026178010471204,0.4031413612565445
Gemma 4 4B,Greedy,ClaimComparison,Behavioral,False,1,27.0,27,0.14136125654450263,,0.19895287958115182,0.5026178010471204
Gemma 4 4B,Greedy,ClaimComparison,ClaimComparison,True,1,38.0,38,0.19895287958115182,,0.19895287958115182,0.19895287958115182
Gemma 4 4B,Greedy,ClaimComparison,Mechanical,False,1,2.0,2,0.010471204188481676,,0.19895287958115182,0.07329842931937172
Gemma 4 4B,Greedy,ClaimComparison,Payoff,False,1,23.0,23,0.12041884816753927,,0.19895287958115182,0.7172774869109948
Gemma 4 4B,Greedy,ClaimComparison,SocialJudgment,False,1,13.0,13,0.06806282722513089,,0.19895287958115182,0.5392670157068062
Gemma 4 4B,Greedy,ClaimComparison,Testimony,False,1,38.0,38,0.19895287958115182,,0.19895287958115182,0.7172774869109948
Gemma 4 4B,Greedy,ClaimComparison,Uncertainty,False,1,9.0,9,0.04712041884816754,,0.19895287958115182,0.4031413612565445
Gemma 4 4B,Greedy,Mechanical,Behavioral,False,1,7.0,7,0.03664921465968586,,0.07329842931937172,0.5026178010471204
Gemma 4 4B,Greedy,Mechanical,ClaimComparison,False,1,2.0,2,0.010471204188481676,,0.07329842931937172,0.19895287958115182
Gemma 4 4B,Greedy,Mechanical,Mechanical,True,1,14.0,14,0.07329842931937172,,0.07329842931937172,0.07329842931937172
Gemma 4 4B,Greedy,Mechanical,Payoff,False,1,12.0,12,0.06282722513089005,,0.07329842931937172,0.7172774869109948
Gemma 4 4B,Greedy,Mechanical,SocialJudgment,False,1,5.0,5,0.02617801047120419,,0.07329842931937172,0.5392670157068062
Gemma 4 4B,Greedy,Mechanical,Testimony,False,1,14.0,14,0.07329842931937172,,0.07329842931937172,0.7172774869109948
Gemma 4 4B,Greedy,Mechanical,Uncertainty,False,1,3.0,3,0.015706806282722512,,0.07329842931937172,0.4031413612565445
Gemma 4 4B,Greedy,Payoff,Behavioral,False,1,58.0,58,0.3036649214659686,,0.7172774869109948,0.5026178010471204
Gemma 4 4B,Greedy,Payoff,ClaimComparison,False,1,23.0,23,0.12041884816753927,,0.7172774869109948,0.19895287958115182
Gemma 4 4B,Greedy,Payoff,Mechanical,False,1,12.0,12,0.06282722513089005,,0.7172774869109948,0.07329842931937172
Gemma 4 4B,Greedy,Payoff,Payoff,True,1,137.0,137,0.7172774869109948,,0.7172774869109948,0.7172774869109948
Gemma 4 4B,Greedy,Payoff,SocialJudgment,False,1,80.0,80,0.418848167539267,,0.7172774869109948,0.5392670157068062
Gemma 4 4B,Greedy,Payoff,Testimony,False,1,104.0,104,0.5445026178010471,,0.7172774869109948,0.7172774869109948
Gemma 4 4B,Greedy,Payoff,Uncertainty,False,1,52.0,52,0.27225130890052357,,0.7172774869109948,0.4031413612565445
Gemma 4 4B,Greedy,SocialJudgment,Behavioral,False,1,49.0,49,0.25654450261780104,,0.5392670157068062,0.5026178010471204
Gemma 4 4B,Greedy,SocialJudgment,ClaimComparison,False,1,13.0,13,0.06806282722513089,,0.5392670157068062,0.19895287958115182
Gemma 4 4B,Greedy,SocialJudgment,Mechanical,False,1,5.0,5,0.02617801047120419,,0.5392670157068062,0.07329842931937172
Gemma 4 4B,Greedy,SocialJudgment,Payoff,False,1,80.0,80,0.418848167539267,,0.5392670157068062,0.7172774869109948
Gemma 4 4B,Greedy,SocialJudgment,SocialJudgment,True,1,103.0,103,0.5392670157068062,,0.5392670157068062,0.5392670157068062
Gemma 4 4B,Greedy,SocialJudgment,Testimony,False,1,68.0,68,0.35602094240837695,,0.5392670157068062,0.7172774869109948
Gemma 4 4B,Greedy,SocialJudgment,Uncertainty,False,1,37.0,37,0.193717277486911,,0.5392670157068062,0.4031413612565445
Gemma 4 4B,Greedy,Testimony,Behavioral,False,1,70.0,70,0.36649214659685864,,0.7172774869109948,0.5026178010471204
Gemma 4 4B,Greedy,Testimony,ClaimComparison,False,1,38.0,38,0.19895287958115182,,0.7172774869109948,0.19895287958115182
Gemma 4 4B,Greedy,Testimony,Mechanical,False,1,14.0,14,0.07329842931937172,,0.7172774869109948,0.07329842931937172
Gemma 4 4B,Greedy,Testimony,Payoff,False,1,104.0,104,0.5445026178010471,,0.7172774869109948,0.7172774869109948
Gemma 4 4B,Greedy,Testimony,SocialJudgment,False,1,68.0,68,0.35602094240837695,,0.7172774869109948,0.5392670157068062
Gemma 4 4B,Greedy,Testimony,Testimony,True,1,137.0,137,0.7172774869109948,,0.7172774869109948,0.7172774869109948
Gemma 4 4B,Greedy,Testimony,Uncertainty,False,1,48.0,48,0.2513089005235602,,0.7172774869109948,0.4031413612565445
