repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
1,3,38,10.0,1.5067440021031728,0.38596491228070173,4B,count_overall,enriched
1,4,38,100.0,1.263325562004247,0.5526315789473685,4B,count_overall,enriched
2,0,40,10.0,1.4226319288215803,0.39166666666666666,4B,count_overall,enriched
2,1,47,10.0,1.3855281928874559,0.43262411347517726,4B,count_overall,enriched
2,2,32,10.0,1.6802344777506515,0.22916666666666663,4B,count_overall,enriched
2,3,34,100.0,1.3764878556908136,0.38235294117647056,4B,count_overall,enriched
2,4,36,10.0,1.3219286859684816,0.5740740740740741,4B,count_overall,enriched
3,0,41,10.0,1.3292798597149698,0.4959349593495935,4B,count_overall,enriched
3,1,37,10.0,1.4638029068374103,0.38738738738738737,4B,count_overall,enriched
3,2,37,10.0,1.388834165905612,0.35135135135135137,4B,count_overall,enriched
3,3,35,10.0,1.550756896323363,0.4,4B,count_overall,enriched
3,4,39,10.0,1.4185782002194147,0.46153846153846156,4B,count_overall,enriched
4,0,37,10.0,1.4004344989290016,0.36036036036036034,4B,count_overall,enriched
4,1,40,100.0,1.4465125459336554,0.41666666666666663,4B,count_overall,enriched
4,2,33,100.0,1.6119705550552632,0.30303030303030304,4B,count_overall,enriched
4,3,42,10.0,1.2968137200793934,0.5555555555555556,4B,count_overall,enriched
4,4,37,100.0,1.465533663598695,0.33333333333333337,4B,count_overall,enriched
0,0,39,10.0,1.376450915624629,0.46153846153846156,4B,count_overall,combined
0,1,39,10.0,1.3799919307671045,0.4700854700854701,4B,count_overall,combined
0,2,37,100.0,1.616754690150718,0.34234234234234234,4B,count_overall,combined
0,3,37,100.0,1.6646826249570605,0.32432432432432434,4B,count_overall,combined
0,4,37,100.0,1.3054784215851434,0.5135135135135135,4B,count_overall,combined
1,0,39,100.0,1.4933560899886023,0.3589743589743589,4B,count_overall,combined
1,1,38,10.0,1.395568611749364,0.47368421052631576,4B,count_overall,combined
1,2,36,10.0,1.5331655746419302,0.3888888888888889,4B,count_overall,combined
1,3,38,100.0,1.5202783620416211,0.37719298245614036,4B,count_overall,combined
1,4,38,100.0,1.2596826965955361,0.5701754385964912,4B,count_overall,combined
2,0,40,10.0,1.4493712660111435,0.4,4B,count_overall,combined
2,1,47,100.0,1.4086202449058796,0.4042553191489361,4B,count_overall,combined
2,2,32,10.0,1.6898584482720231,0.2708333333333333,4B,count_overall,combined
2,3,34,100.0,1.3733420641910017,0.38235294117647056,4B,count_overall,combined
2,4,36,100.0,1.3239071980254877,0.5740740740740741,4B,count_overall,combined
3,0,41,100.0,1.3757711882082981,0.4959349593495935,4B,count_overall,combined
3,1,37,100.0,1.4263114372494443,0.38738738738738737,4B,count_overall,combined
3,2,37,100.0,1.4207654468690343,0.34234234234234234,4B,count_overall,combined
3,3,35,10.0,1.5564845255546897,0.3904761904761905,4B,count_overall,combined
3,4,39,100.0,1.4282012844725815,0.5042735042735043,4B,count_overall,combined
4,0,37,10.0,1.3931228272754823,0.3783783783783784,4B,count_overall,combined
4,1,40,100.0,1.44334062367366,0.4333333333333333,4B,count_overall,combined
4,2,33,100.0,1.6091628032231553,0.30303030303030304,4B,count_overall,combined
