repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
2,0,41,10.0,1.686016534153441,0.2682926829268293,2B,count_temporal,enriched
2,1,47,100.0,1.345074593593395,0.524822695035461,2B,count_temporal,enriched
2,2,35,100.0,1.3062465946112962,0.5238095238095237,2B,count_temporal,enriched
2,3,32,100.0,1.454432063891651,0.46875,2B,count_temporal,enriched
2,4,36,100.0,1.528316550401685,0.39814814814814814,2B,count_temporal,enriched
3,0,40,100.0,1.4401964558489062,0.475,2B,count_temporal,enriched
3,1,37,10.0,1.6173857415094228,0.41441441441441434,2B,count_temporal,enriched
3,2,41,100.0,1.3431173977276947,0.4796747967479674,2B,count_temporal,enriched
3,3,36,100.0,1.3442519954555097,0.5462962962962963,2B,count_temporal,enriched
3,4,37,100.0,1.6174657863922601,0.2522522522522523,2B,count_temporal,enriched
4,0,38,10.0,1.3388497209914174,0.4736842105263157,2B,count_temporal,enriched
4,1,38,100.0,1.3650165413504445,0.48245614035087714,2B,count_temporal,enriched
4,2,40,10.0,1.431653093420455,0.5166666666666666,2B,count_temporal,enriched
4,3,33,100.0,1.578112416211017,0.3838383838383838,2B,count_temporal,enriched
4,4,42,100.0,1.436213401063275,0.47619047619047616,2B,count_temporal,enriched
0,0,39,100.0,1.4000945468518355,0.5128205128205128,2B,count_temporal,combined
0,1,38,100.0,1.3113184236644373,0.543859649122807,2B,count_temporal,combined
0,2,38,100.0,1.5516507642360355,0.39473684210526305,2B,count_temporal,combined
0,3,37,100.0,1.5323973327561298,0.4054054054054054,2B,count_temporal,combined
0,4,39,100.0,1.4349095172060669,0.45299145299145305,2B,count_temporal,combined
1,0,37,100.0,1.5220443718001866,0.4504504504504504,2B,count_temporal,combined
1,1,39,100.0,1.3782487762586173,0.4444444444444444,2B,count_temporal,combined
1,2,38,100.0,1.4823178862002189,0.4473684210526316,2B,count_temporal,combined
1,3,38,100.0,1.4429569119811085,0.48245614035087714,2B,count_temporal,combined
1,4,39,100.0,1.3972397625771276,0.4871794871794871,2B,count_temporal,combined
2,0,41,100.0,1.6380702978696777,0.3008130081300813,2B,count_temporal,combined
2,1,47,100.0,1.3431231215201724,0.5531914893617021,2B,count_temporal,combined
2,2,35,100.0,1.2955253880390698,0.5238095238095237,2B,count_temporal,combined
2,3,32,100.0,1.4524546991370242,0.4375,2B,count_temporal,combined
2,4,36,100.0,1.5502184450259002,0.42592592592592593,2B,count_temporal,combined
3,0,40,100.0,1.4346103833896044,0.4916666666666666,2B,count_temporal,combined
3,1,37,100.0,1.4828990673935971,0.44144144144144143,2B,count_temporal,combined
3,2,41,100.0,1.3681024716200036,0.5040650406504065,2B,count_temporal,combined
3,3,36,100.0,1.3423278460643613,0.537037037037037,2B,count_temporal,combined
3,4,37,100.0,1.6109389834189478,0.2972972972972973,2B,count_temporal,combined
4,0,38,100.0,1.3793468525219759,0.45614035087719296,2B,count_temporal,combined
4,1,38,100.0,1.37433277327594,0.4912280701754385,2B,count_temporal,combined
4,2,40,10.0,1.4097882488793076,0.5416666666666666,2B,count_temporal,combined
4,3,33,100.0,1.5799981260873184,0.3838383838383838,2B,count_temporal,combined
