model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,total_support,low_support_diagnostic
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,3.39257362864174,1.5979389248715141,2.0105263157894737,5.142307692307692,0.029668411867364745,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Synchrony,3,1.529248366013072,1.4990141843646148,0.0,2.9960784313725495,0.008726003490401396,5,True
Gemma 4 2B,Stochastic,Payoff,Comparison.Contrast,3,1.0283103867251986,0.019167478703123304,1.0066833297109326,1.0431976166832175,0.5322862129144852,305,False
Gemma 4 2B,Stochastic,Payoff,Comparison.Concession,3,1.1001526294905746,0.02370906520526624,1.0730337078651686,1.1169590643274854,0.013961605584642234,8,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Cause,3,1.0070892513057224,0.02665761916193407,0.9772271268057786,1.028487059232239,0.5270506108202443,302,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Condition,3,1.0840589321531968,0.029004188169291806,1.0621840242669363,1.1169590643274854,0.10994764397905758,63,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Conjunction,3,0.9912861942476318,0.01186733440858641,0.9782668881506091,1.0014981273408239,0.431064572425829,247,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Alternative,3,0.6946116543427204,0.1530671707576401,0.555232558139535,0.858426966292135,0.013961605584642234,8,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Restatement,3,,,,,0.0,0,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Asynchronous,3,0.94509544764898,0.038968250326036326,0.9120786516853933,0.9880791722896985,0.09773123909249563,56,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Synchrony,3,0.8934079429986284,0.06047960891989561,0.8328488372093024,0.9538077403245943,0.045375218150087264,26,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Contrast,3,1.2383464390587715,0.03409342118846515,1.20125786163522,1.2683226758485,0.4205933682373473,241,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Concession,3,1.256578947368421,0.41885964912280704,0.8377192982456141,1.6754385964912282,0.010471204188481674,6,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Cause,3,1.0417479014947315,0.0480488431927051,0.987312030075188,1.0782525620983154,0.3577661431064572,205,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Condition,3,1.4241983243247847,0.17555612353539735,1.238367658276125,1.5872576177285322,0.09424083769633507,54,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Conjunction,3,1.0317687737863175,0.030566439586638967,0.9972848788638261,1.0555263157894739,0.2949389179755672,169,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Alternative,3,1.5637426900584799,0.19346298493897982,1.3403508771929826,1.6754385964912282,0.019197207678883072,11,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Restatement,3,,,,,0.0,0,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Asynchronous,3,0.6533306106020788,0.1215445169200129,0.5799595141700405,0.7936288088642661,0.04363001745200698,25,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Synchrony,3,0.7260233918128655,0.14775979544249615,0.5584795321637427,0.8377192982456141,0.02443280977312391,14,False
Gemma 4 2B,Greedy,Mechanical,Comparison.Contrast,1,0.652991452991453,,0.652991452991453,0.652991452991453,0.010471204188481676,2,True
Gemma 4 2B,Greedy,Mechanical,Comparison.Concession,1,0.0,,0.0,0.0,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Cause,1,0.6211382113821139,,0.6211382113821139,0.6211382113821139,0.010471204188481676,2,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Condition,1,2.4645161290322584,,2.4645161290322584,2.4645161290322584,0.010471204188481676,2,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Conjunction,1,0.8042105263157895,,0.8042105263157895,0.8042105263157895,0.010471204188481676,2,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Alternative,1,0.0,,0.0,0.0,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Restatement,1,,,,,0.0,0,True
Gemma 4 2B,Greedy,Mechanical,Temporal.Asynchronous,1,1.8190476190476192,,1.8190476190476192,1.8190476190476192,0.005235602094240838,1,True
Gemma 4 2B,Greedy,Mechanical,Temporal.Synchrony,1,0.0,,0.0,0.0,0.0,0,True
Gemma 4 2B,Greedy,Testimony,Comparison.Contrast,1,1.0516929651545035,,1.0516929651545035,1.0516929651545035,0.3507853403141361,67,False
Gemma 4 2B,Greedy,Testimony,Comparison.Concession,1,1.8365384615384615,,1.8365384615384615,1.8365384615384615,0.010471204188481676,2,False
Gemma 4 2B,Greedy,Testimony,Contingency.Cause,1,0.9406660412757976,,0.9406660412757976,0.9406660412757976,0.3298429319371728,63,False
Gemma 4 2B,Greedy,Testimony,Contingency.Condition,1,0.5924317617866005,,0.5924317617866005,0.5924317617866005,0.05235602094240838,10,False
Gemma 4 2B,Greedy,Testimony,Expansion.Conjunction,1,1.043927125506073,,1.043927125506073,1.043927125506073,0.28272251308900526,54,False
Gemma 4 2B,Greedy,Testimony,Expansion.Alternative,1,0.36730769230769234,,0.36730769230769234,0.36730769230769234,0.005235602094240838,1,False
Gemma 4 2B,Greedy,Testimony,Expansion.Restatement,1,,,,,0.0,0,False
Gemma 4 2B,Greedy,Testimony,Temporal.Asynchronous,1,1.574175824175824,,1.574175824175824,1.574175824175824,0.09424083769633508,18,False
Gemma 4 2B,Greedy,Testimony,Temporal.Synchrony,1,0.9182692307692307,,0.9182692307692307,0.9182692307692307,0.010471204188481676,2,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Contrast,1,1.0434399506564453,,1.0434399506564453,1.0434399506564453,0.32460732984293195,62,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison.Concession,1,0.0,,0.0,0.0,0.0,0,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Cause,1,0.8804794233509347,,0.8804794233509347,0.8804794233509347,0.2879581151832461,55,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency.Condition,1,0.3175922846691054,,0.3175922846691054,0.3175922846691054,0.02617801047120419,5,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Conjunction,1,1.0156266956049917,,1.0156266956049917,1.0156266956049917,0.25654450261780104,49,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Alternative,1,0.7876288659793814,,0.7876288659793814,0.7876288659793814,0.010471204188481676,2,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion.Restatement,1,,,,,0.0,0,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Asynchronous,1,1.2189494354442807,,1.2189494354442807,1.2189494354442807,0.06806282722513089,13,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal.Synchrony,1,0.9845360824742266,,0.9845360824742266,0.9845360824742266,0.010471204188481676,2,False
Gemma 4 2B,Greedy,Behavioral,Comparison.Contrast,1,0.9122674710910005,,0.9122674710910005,0.9122674710910005,0.09947643979057591,19,False
Gemma 4 2B,Greedy,Behavioral,Comparison.Concession,1,0.0,,0.0,0.0,0.0,0,False
Gemma 4 2B,Greedy,Behavioral,Contingency.Cause,1,0.9591104734576759,,0.9591104734576759,0.9591104734576759,0.1099476439790576,21,False
Gemma 4 2B,Greedy,Behavioral,Contingency.Condition,1,0.7248576850094877,,0.7248576850094877,0.7248576850094877,0.020942408376963352,4,False
