model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 4B,Greedy,Behavioral,Temporal,1,0.3645833333333333,,0.3645833333333333,0.3645833333333333,96.0,96,35,False
Gemma 4 4B,Greedy,Behavioral,Any explicit,1,0.96875,,0.96875,0.96875,96.0,96,93,False
Gemma 4 4B,Greedy,ClaimComparison,Comparison,1,0.5526315789473685,,0.5526315789473685,0.5526315789473685,38.0,38,21,False
Gemma 4 4B,Greedy,ClaimComparison,Contingency,1,0.15789473684210525,,0.15789473684210525,0.15789473684210525,38.0,38,6,False
Gemma 4 4B,Greedy,ClaimComparison,Expansion,1,0.39473684210526316,,0.39473684210526316,0.39473684210526316,38.0,38,15,False
Gemma 4 4B,Greedy,ClaimComparison,Temporal,1,0.6578947368421053,,0.6578947368421053,0.6578947368421053,38.0,38,25,False
Gemma 4 4B,Greedy,ClaimComparison,Any explicit,1,0.9473684210526315,,0.9473684210526315,0.9473684210526315,38.0,38,36,False
Gemma 4 4B,Greedy,Payoff,Comparison,1,0.7445255474452555,,0.7445255474452555,0.7445255474452555,137.0,137,102,False
Gemma 4 4B,Greedy,Payoff,Contingency,1,0.3795620437956204,,0.3795620437956204,0.3795620437956204,137.0,137,52,False
Gemma 4 4B,Greedy,Payoff,Expansion,1,0.5255474452554745,,0.5255474452554745,0.5255474452554745,137.0,137,72,False
Gemma 4 4B,Greedy,Payoff,Temporal,1,0.27007299270072993,,0.27007299270072993,0.27007299270072993,137.0,137,37,False
Gemma 4 4B,Greedy,Payoff,Any explicit,1,0.9854014598540146,,0.9854014598540146,0.9854014598540146,137.0,137,135,False
Gemma 4 4B,Greedy,Uncertainty,Comparison,1,0.8311688311688312,,0.8311688311688312,0.8311688311688312,77.0,77,64,False
Gemma 4 4B,Greedy,Uncertainty,Contingency,1,0.42857142857142855,,0.42857142857142855,0.42857142857142855,77.0,77,33,False
Gemma 4 4B,Greedy,Uncertainty,Expansion,1,0.4805194805194805,,0.4805194805194805,0.4805194805194805,77.0,77,37,False
Gemma 4 4B,Greedy,Uncertainty,Temporal,1,0.19480519480519481,,0.19480519480519481,0.19480519480519481,77.0,77,15,False
Gemma 4 4B,Greedy,Uncertainty,Any explicit,1,1.0,,1.0,1.0,77.0,77,77,False
Gemma 4 31B,Stochastic,Mechanical,Comparison,3,0.3432343234323432,0.01143267859781435,0.33663366336633666,0.3564356435643564,101.0,303,104,False
Gemma 4 31B,Stochastic,Mechanical,Contingency,3,0.7293729372937294,0.02061055445015975,0.7128712871287128,0.7524752475247525,101.0,303,221,False
Gemma 4 31B,Stochastic,Mechanical,Expansion,3,0.5610561056105611,0.011432678597814317,0.5544554455445545,0.5742574257425742,101.0,303,170,False
Gemma 4 31B,Stochastic,Mechanical,Temporal,3,0.3861386138613862,0.017149017896721575,0.36633663366336633,0.39603960396039606,101.0,303,117,False
Gemma 4 31B,Stochastic,Mechanical,Any explicit,3,0.9603960396039604,0.00990099009900991,0.9504950495049505,0.9702970297029703,101.0,303,291,False
Gemma 4 31B,Stochastic,Testimony,Comparison,3,0.4512898116481543,0.03358442908968745,0.4148936170212766,0.4810810810810811,187.66666666666666,563,254,False
Gemma 4 31B,Stochastic,Testimony,Contingency,3,0.5791985714718078,0.01904984428713718,0.5578947368421052,0.5945945945945946,187.66666666666666,563,326,False
