model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 31B,Stochastic,Behavioral,Temporal,3,0.887097631789831,0.11769072985642128,0.8008658008658008,1.0211759647425562,0.8955754856507054,27837,247,False
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,3.620857906033516,0.1696991079669973,3.5076393372068,3.8159733419327098,3.5833469170933636,27837,1008,False
Gemma 4 31B,Stochastic,ClaimComparison,Comparison,3,0.7231021248835914,0.053955387227241906,0.6611193434401003,0.7595510713071081,0.7288959753840308,25475,184,False
Gemma 4 31B,Stochastic,ClaimComparison,Contingency,3,0.9542340629734415,0.009286641716972521,0.9460845776815229,0.9643446263164573,0.924652185648838,25475,243,False
Gemma 4 31B,Stochastic,ClaimComparison,Expansion,3,1.0229937382133816,0.0717447163346535,0.9770333713995686,1.1056651088567195,1.0034201410297034,25475,261,False
Gemma 4 31B,Stochastic,ClaimComparison,Temporal,3,0.9996010709940645,0.06709590065198959,0.9574831870511797,1.0769753996145561,1.0090625905923283,25475,255,False
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,3.6999309970644787,0.0655722917877105,3.6543585839360486,3.7750821902278653,3.6660308926549003,25475,943,False
Gemma 4 31B,Stochastic,Payoff,Comparison,3,0.7866326161359103,0.2637973676885187,0.5182567726737338,1.0455997676444961,0.7743647661487053,12336,95,False
Gemma 4 31B,Stochastic,Payoff,Contingency,3,1.5013256979348917,0.24384978158107076,1.2198663955852453,1.6489988221436984,1.5139182166558616,12336,188,False
Gemma 4 31B,Stochastic,Payoff,Expansion,3,1.09621585352153,0.03880602806242325,1.0542168674698795,1.1307420494699647,1.080884286020857,12336,135,False
Gemma 4 31B,Stochastic,Payoff,Temporal,3,0.6291098356353019,0.05246771251514198,0.5889281507656066,0.6884681583476764,0.6318472434922167,12336,78,False
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,4.013284003227635,0.14648108478366634,3.8869257950530036,4.173838209982788,4.00101451231764,12336,496,False
Gemma 4 31B,Stochastic,Uncertainty,Comparison,3,0.8953065608338385,0.09229138302602079,0.8012820512820513,0.9857612267250822,0.9107185334691038,4854,44,True
Gemma 4 31B,Stochastic,Uncertainty,Contingency,3,0.7431025140345567,0.23714754504428376,0.5608974358974359,1.0112359550561798,0.6772175812953968,4854,37,True
Gemma 4 31B,Stochastic,Uncertainty,Expansion,3,1.0859072996104269,0.10409875525982555,1.0112359550561798,1.2048192771084338,1.065087112195886,4854,53,True
Gemma 4 31B,Stochastic,Uncertainty,Temporal,3,0.43034195134168063,0.1194085999188819,0.32858707557502737,0.5617977528089888,0.4261300469916085,4854,21,True
