model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 2B,Greedy,Uncertainty,Expansion.Alternative,1,0.00667779632721202,,2.3490196078431373,,4.0,4,False
Gemma 4 2B,Greedy,Uncertainty,Expansion.Restatement,1,0.0,,,,0.0,0,False
Gemma 4 2B,Greedy,Uncertainty,Temporal.Asynchronous,1,0.0,,0.0,,0.0,0,False
Gemma 4 2B,Greedy,Uncertainty,Temporal.Synchrony,1,0.0,,0.0,,0.0,0,False
Gemma 4 4B,Stochastic,Mechanical,Comparison.Contrast,3,0.007594739736893649,0.0026535232118069163,1.4704749797099803,0.3080190608685859,5.666666666666667,17,True
Gemma 4 4B,Stochastic,Mechanical,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 4B,Stochastic,Mechanical,Contingency.Cause,3,0.002691105023018767,4.56872928533855e-05,1.49376310081038,0.28783159804129227,2.0,6,True
Gemma 4 4B,Stochastic,Mechanical,Contingency.Condition,3,0.0004535147392290249,0.0007855105703260213,1.2564102564102562,2.1761663992532045,0.3333333333333333,1,True
Gemma 4 4B,Stochastic,Mechanical,Expansion.Conjunction,3,0.0017978365458829703,0.000793433204543465,0.6723638377773716,0.29314922605927096,1.3333333333333333,4,True
Gemma 4 4B,Stochastic,Mechanical,Expansion.Alternative,3,0.0,0.0,0.0,,0.0,0,True
Gemma 4 4B,Stochastic,Mechanical,Expansion.Restatement,3,0.0,0.0,,,0.0,0,True
Gemma 4 4B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.0026773440216965147,0.0012990014253174771,2.0882933682485754,0.8287632999388478,2.0,6,True
Gemma 4 4B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 4B,Stochastic,Testimony,Comparison.Contrast,3,0.10224822987339093,0.0007895279492178268,1.3023852122232258,0.014712338323396317,76.0,228,False
Gemma 4 4B,Stochastic,Testimony,Comparison.Concession,3,0.0018128282520606615,0.0020786695179694755,1.7419386169386173,0.23638903854352153,1.3333333333333333,4,False
Gemma 4 4B,Stochastic,Testimony,Contingency.Cause,3,0.03409355823181906,0.002296777531338768,1.2009797313384805,0.07585714590582937,25.333333333333332,76,False
Gemma 4 4B,Stochastic,Testimony,Contingency.Condition,3,0.0036082033882327553,0.0028384474712570837,0.7139320645544712,0.6253749314895329,2.6666666666666665,8,False
Gemma 4 4B,Stochastic,Testimony,Expansion.Conjunction,3,0.053824561870086225,0.002936729330468381,1.2958622686021153,0.13723107654297453,40.0,120,False
Gemma 4 4B,Stochastic,Testimony,Expansion.Alternative,3,0.0004535147392290249,0.0007855105703260213,1.5909090909090908,,0.3333333333333333,1,False
Gemma 4 4B,Stochastic,Testimony,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 4B,Stochastic,Testimony,Temporal.Asynchronous,3,0.047029225010783486,0.005026715449180113,2.4292653184975364,0.25966072699332776,35.0,105,False
Gemma 4 4B,Stochastic,Testimony,Temporal.Synchrony,3,0.006718924375646419,0.0048751705151600724,1.1308351331403428,0.6798396512900867,5.0,15,False
Gemma 4 4B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.09238446248758427,0.008277780149759025,1.2070472409488262,0.12239441217766481,68.66666666666667,206,False
Gemma 4 4B,Stochastic,SocialJudgment,Comparison.Concession,3,0.0009057987736026115,0.0007844469208445457,1.1112135388002202,0.6943228198425859,0.6666666666666666,2,False
Gemma 4 4B,Stochastic,SocialJudgment,Contingency.Cause,3,0.0107806425031082,0.003665635173110547,0.37895605482424294,0.06320252503542849,8.0,24,False
Gemma 4 4B,Stochastic,SocialJudgment,Contingency.Condition,3,0.000893268477135797,0.000773868529394696,0.17238412175121035,0.15802866177625755,0.6666666666666666,2,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Conjunction,3,0.05264044925987756,0.01626522506480943,1.270441376055025,0.2743877711948748,39.0,117,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.0,0.0,0.0,,0.0,0,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 4B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,0.019733465047978047,0.0034238500458667353,1.0364769461944683,0.08667622571111615,14.666666666666666,44,False
Gemma 4 4B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.004491402978612614,0.0020960861059826125,0.8230548840826771,0.1320822532926697,3.3333333333333335,10,False
