model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 4B,Stochastic,Payoff,Expansion,3,0.14082718413928605,0.03325689918833392,0.10303030303030303,0.16560509554140126,159.33333333333334,478,67,False
Gemma 4 4B,Stochastic,Payoff,Temporal,3,0.010450660450660452,0.009723614475325644,0.0,0.019230769230769232,159.33333333333334,478,5,False
Gemma 4 4B,Stochastic,Payoff,Any explicit,3,0.37306059121345747,0.037421156205956714,0.3333333333333333,0.40764331210191085,159.33333333333334,478,178,False
Gemma 4 4B,Stochastic,Uncertainty,Comparison,3,0.34677869949157075,0.051853610369629786,0.3069306930693069,0.40540540540540543,112.33333333333333,337,117,False
Gemma 4 4B,Stochastic,Uncertainty,Contingency,3,0.0781953438587102,0.02736189347658864,0.04950495049504951,0.104,112.33333333333333,337,27,False
Gemma 4 4B,Stochastic,Uncertainty,Expansion,3,0.07175999762138376,0.007608761827762653,0.064,0.07920792079207921,112.33333333333333,337,24,False
Gemma 4 4B,Stochastic,Uncertainty,Temporal,3,0.014303333036006304,0.008409394759683057,0.009009009009009009,0.024,112.33333333333333,337,5,False
Gemma 4 4B,Stochastic,Uncertainty,Any explicit,3,0.44824737608896026,0.06556833873060101,0.37623762376237624,0.5045045045045045,112.33333333333333,337,152,False
Gemma 4 4B,Greedy,Mechanical,Comparison,1,0.14285714285714285,,0.14285714285714285,0.14285714285714285,14.0,14,2,True
Gemma 4 4B,Greedy,Mechanical,Contingency,1,0.42857142857142855,,0.42857142857142855,0.42857142857142855,14.0,14,6,True
Gemma 4 4B,Greedy,Mechanical,Expansion,1,0.0,,0.0,0.0,14.0,14,0,True
Gemma 4 4B,Greedy,Mechanical,Temporal,1,0.14285714285714285,,0.14285714285714285,0.14285714285714285,14.0,14,2,True
Gemma 4 4B,Greedy,Mechanical,Any explicit,1,0.5714285714285714,,0.5714285714285714,0.5714285714285714,14.0,14,8,True
Gemma 4 4B,Greedy,Testimony,Comparison,1,0.32882882882882886,,0.32882882882882886,0.32882882882882886,222.0,222,73,False
Gemma 4 4B,Greedy,Testimony,Contingency,1,0.09009009009009009,,0.09009009009009009,0.09009009009009009,222.0,222,20,False
Gemma 4 4B,Greedy,Testimony,Expansion,1,0.15765765765765766,,0.15765765765765766,0.15765765765765766,222.0,222,35,False
Gemma 4 4B,Greedy,Testimony,Temporal,1,0.19369369369369369,,0.19369369369369369,0.19369369369369369,222.0,222,43,False
Gemma 4 4B,Greedy,Testimony,Any explicit,1,0.6126126126126126,,0.6126126126126126,0.6126126126126126,222.0,222,136,False
Gemma 4 4B,Greedy,SocialJudgment,Comparison,1,0.3231441048034934,,0.3231441048034934,0.3231441048034934,229.0,229,74,False
Gemma 4 4B,Greedy,SocialJudgment,Contingency,1,0.03056768558951965,,0.03056768558951965,0.03056768558951965,229.0,229,7,False
